Timestamp,Residents,Apartment_Type,Temperature,Humidity,Water_Price,Period_Consumption_Index,Income_Level,Guests,Amenities,Appliance_Usage,Water_Consumption
01/01/2002 00,1,Studio,15.31,46.61,1.06,0.97,Low,0,Swimming Pool,0.0,64.85
01/01/2002 08,4,,21.01,66.11,2.98,0.91,Upper Middle,1,Swimming Pool,1.0,192.5
01/01/2002 16,2,Cottage,12.86,60.86,1.44,1.43,Middle,0,None,1.0,116.62
02/01/2002 00,2,1BHK,20.16,50.58,1.48,0.91,Middle,-1,Garden,0.0,76.96
02/01/2002 08,2,Cottage,16.23,52.25,1.14,1.11,Middle,0,Fountain,0.0,104.7
02/01/2002 16,4,2BHK,22.23,53.86,1.15,1.46,Middle,0,None,1.0,218.23
03/01/2002 00,3,2BHK,10.83,57.51,2.98,1.07,Upper Middle,0,Swimming Pool,0.0,135.8
03/01/2002 08,3,Cottage,30.37,33.88,1.35,1.4,yePea,0,Fountain,0.0,202.29
03/01/2002 16,4,Bungalow,16.57,57.94,2.84,1.47,Upper Middle,0,Garden,0.0,188.04
04/01/2002 00,2,,22.59,57.25,1.11,0.99,Low,1,None,1.0,88.94
04/01/2002 08,3,2BHK,,63.72,1.14,0.22942175596816483,Middle,0,None,1.0,91.71
04/01/2002 16,3,1BHK,30.7,62.17,1.07,0.91,Middle,0,Garden,0.0,96.72
05/01/2002 00,2,Cottage,29.6,30.7,1.66,1.3,Middle,1,None,0.0,152.87
05/01/2002 08,-11,Studio,14.5,70.0,1.56,1.14,Low,1,Swimming Pool,0.0,75.05
05/01/2002 16,5,2BHK,17.34,49.39,1.11,1.23,Middle,1,None,0.0,219.84
06/01/2002 00,3,1BHK,18.55,61.02,1.73,1.41,Low,1,None,0.0,136.38
06/01/2002 08,4,2BHK,26.04,52.99,1.09,1.36,Middle,1,None,0.0,220.55
06/01/2002 16,4,,28.03,48.72,1.55,1.33,Middle,0,None,1.0,210.84
07/01/2002 00,5,3BHK,18.41,48.28,2.94,1.35,Rich,1,Swimming Pool,0.0,409.67
07/01/2002 08,3,3BHK,28.22,76.93,2.33,0.98,Rich,0,Fountain,0.0,152.83
07/01/2002 16,3,Bungalow,16.93,45.3,1.81,1.05,Upper Middle,1,Swimming Pool,0.0,195.02
08/01/2002 00,4,2BHK,20.75,59.79,2.23,0.93,Upper Middle,1,None,0.0,143.08
08/01/2002 08,1,Studio,14.68,41.82,1.33,1.03,Low,0,Swimming Pool,0.0,69.13
08/01/2002 16,4,2BHK,28.79,73.04,2.03,1.31,Upper Middle,0,None,0.0,163.73
09/01/2002 00,3,1BHK,20.94,39.57,1.51,1.36,Low,1,Garden,0.0,164.23
09/01/2002 08,3,3BHK,17.86,55.42,2.5,1.25,Rich,0,None,0.0,173.07
09/01/2002 16,4,2BHK,27.01,43.57,2.27,0.8,Upper Middle,0,Fountain,0.0,144.6
10/01/2002 00,3,2BHK,22.24,43.24,1.79,1.2,Middle,0,Swimming Pool,1.0,205.6
10/01/2002 08,3,1BHK,12.71,55.74,1.33,1.23,Middle,0,None,0.0,110.66
10/01/2002 16,4,Detached,16.4,55.73,2.19,1.3,Rich,0,None,0.0,213.5
11/01/2002 00,4,3BHK,21.73,44.83,1.67,1.19,Upper Middle,1,None,0.0,228.76
11/01/2002 08,1,Studio,25.32,61.95,1.38,1.35,Low,0,None,1.0,76.62
11/01/2002 16,3,Bungalow,17.29,55.64,2.09,1.48,Upper Middle,0,Swimming Pool,0.0,209.99
12/01/2002 00,2,1BHK,10.92,54.22,1.29,0.7007671115482917,Middle,0,None,0.0,100.12
12/01/2002 08,5,Bungalow,15.98,62.72,1.7,1.05,Rich,0,Garden,0.0,187.01
12/01/2002 16,5,2BHK,17.77,47.88,1.21,1.11,Middle,0,Fountain,0.0,200.5
13/01/2002 00,5,Bungalow,,60.18,2.39,1.06,Upper Middle,1,Jacuzzi,1.0,284.16
13/01/2002 08,3,Cottage,23.78,42.78,1.71,1.49,Middle,1,Jacuzzi,0.0,236.31
